name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Alizarin Crimson,#6000684,https://goldenhub.goldenpaints.com/storage/uploads/Alizarin_Crimson_Swatch.jpg,./images/alizarin_crimson_swatch.jpg,./returned_colors/alizarin_crimson_returned.jpg,#542223,"[84, 34, 35]"
Alizarin Orange,#6000534,https://goldenhub.goldenpaints.com/storage/uploads/Alizarin_Orange_Swatch.jpg,./images/alizarin_orange_swatch.jpg,./returned_colors/alizarin_orange_returned.jpg,#b25417,"[178, 84, 23]"
Alizarin Yellow,#6000514,https://goldenhub.goldenpaints.com/storage/uploads/Alizarin_Yellow_Swatch.jpg,./images/alizarin_yellow_swatch.jpg,./returned_colors/alizarin_yellow_returned.jpg,#956a22,"[149, 106, 34]"
Bismuth Vanadate Yellow,#6001929,https://goldenhub.goldenpaints.com/storage/uploads/Bismuth_Vanadate_Yellow_Swatch.jpg,./images/bismuth_vanadate_yellow_swatch.jpg,./returned_colors/bismuth_vanadate_yellow_returned.jpg,#f4dd0c,"[244, 221, 12]"
Bohemian Green Earth,#6001021,https://goldenhub.goldenpaints.com/storage/uploads/Bohemian_Green_Earth_Swatch.jpg,./images/bohemian_green_earth_swatch.jpg,./returned_colors/bohemian_green_earth_returned.jpg,#353821,"[53, 56, 33]"
Brilliant Yellow Extra Pale,#6000202,https://goldenhub.goldenpaints.com/storage/uploads/Brilliant_Yellow_Extra_Pale_Swatch.jpg,./images/brilliant_yellow_extra_pale_swatch.jpg,./returned_colors/brilliant_yellow_extra_pale_returned.jpg,#f4f0d4,"[244, 240, 212]"
Brilliant Yellow Pale,#6000212,https://goldenhub.goldenpaints.com/storage/uploads/Brilliant_Yellow_Pale_Swatch.jpg,./images/brilliant_yellow_pale_swatch.jpg,./returned_colors/brilliant_yellow_pale_returned.jpg,#f4eca0,"[244, 236, 160]"
Brown Ochre,#6001561,https://goldenhub.goldenpaints.com/storage/uploads/Brown_Ochre_Swatch.jpg,./images/brown_ochre_swatch.jpg,./returned_colors/brown_ochre_returned.jpg,#5e4821,"[94, 72, 33]"
Brown Pink,#6001484,https://goldenhub.goldenpaints.com/storage/uploads/Brown_Pink_Swatch.jpg,./images/brown_pink_swatch.jpg,./returned_colors/brown_pink_returned.jpg,#272320,"[39, 35, 32]"
Brown Umber,#6001631,https://goldenhub.goldenpaints.com/storage/uploads/Brown_Umber_Swatch.jpg,./images/brown_umber_swatch.jpg,./returned_colors/brown_umber_returned.jpg,#282520,"[40, 37, 32]"
Burnt Sienna,#6001521,https://goldenhub.goldenpaints.com/storage/uploads/Burnt_Sienna_Swatch.jpg,./images/burnt_sienna_swatch.jpg,./returned_colors/burnt_sienna_returned.jpg,#583122,"[88, 49, 34]"
Burnt Umber,#6001661,https://goldenhub.goldenpaints.com/storage/uploads/Burnt_Umber_Swatch.jpg,./images/burnt_umber_swatch.jpg,./returned_colors/burnt_umber_returned.jpg,#27261f,"[39, 38, 31]"
Cadmium Green,#6001186,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Green_Swatch.jpg,./images/cadmium_green_swatch.jpg,./returned_colors/cadmium_green_returned.jpg,#3b6925,"[59, 105, 37]"
Cadmium Green Light,#6001146,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Green_Light_Swatch.jpg,./images/cadmium_green_light_swatch.jpg,./returned_colors/cadmium_green_light_returned.jpg,#6c9636,"[108, 150, 54]"
Cadmium Lemon,#6000246,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Lemon_Swatch.jpg,./images/cadmium_lemon_swatch.jpg,./returned_colors/cadmium_lemon_returned.jpg,#ebde33,"[235, 222, 51]"
Cadmium Orange,#6000546,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Orange_Sawtch.jpg,./images/cadmium_orange_swatch.jpg,./returned_colors/cadmium_orange_returned.jpg,#ee7e19,"[238, 126, 25]"
Cadmium Purple,#6000658,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Purple_Swatch.jpg,./images/cadmium_purple_swatch.jpg,./returned_colors/cadmium_purple_returned.jpg,#583233,"[88, 50, 51]"
Cadmium Red Deep,#6000647,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Red_Deep_Swatch.jpg,./images/cadmium_red_deep_swatch.jpg,./returned_colors/cadmium_red_deep_returned.jpg,#8b2f22,"[139, 47, 34]"
Cadmium Red Light,#6000587,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Red_Light_Swatch.jpg,./images/cadmium_red_light_swatch.jpg,./returned_colors/cadmium_red_light_returned.jpg,#e05319,"[224, 83, 25]"
Cadmium Red Medium,#6000607,https://goldenhub.goldenpaints.com/storage/uploads/Cadmium_Red_Medium_Swatch.jpg,./images/cadmium_red_medium_swatch.jpg,./returned_colors/cadmium_red_medium_returned.jpg,#af3923,"[175, 57, 35]"
